Chl_a,Depth (m),FDOM Fluorescence (RFU) ,Turbidity (NTU),Actual Conductivity  (uS/cm),Specific Conductivity(uS/cm),Salinity(PSU),Resistivity(ohm·cm),Density(g/cm^3),Total Dissolved Solids (ppt),BGA-PC Fluorescence(RFU),Temperature(C),Barometric Pressure(mm Hg),Pressure (psi),Depth(m),Nitrate(NO3- -N),Nitrate(mV),External Voltage(V),BGA-PC (microg/L),bloomstatus
0.057352941,0.5,0,1.1242,0,0,5.00E-10,10000000,0.996,0,0.9986,28.79,766.95,0.4319,0.5064,0,0,15.327,52.68496072,0
0.033470588,0.5,0,1.1231,0,0,5.00E-10,10000000,0.996,0,0,28.79,766.95,0.4334,0.5075,0,0,15.327,0,0
0.782837647,0.5,0,1.1239,0,0,0.00E+00,10000000,0.996,0,1.0258,28.93,766.91,0.4463,0.5089,0,0,15.3281,53.97740325,0
0.806431765,0.5,0,1.1205,0,0,0.00E+00,10000000,0.996,0,1.0307,28.93,766.91,0.4512,0.5116,0,0,15.3276,54.20958055,0
0.209787647,1,0,1.2102,0,0,5.00E-10,10000000,0.996,0,0.9367,28.72,766.88,1.121,0.9937,0,0,15.327,49.68549061,0
0.248603529,1,0,1.2099,0,0,5.00E-10,10000000,0.996,0,0.9343,28.72,766.88,1.1274,0.9982,0,0,15.327,49.5658161,0
0.017529412,1,0,1.1554,0,0,3.00E-11,10000000,0.996,0,0.9439,28.7,766.89,1.1765,1.0325,0,0,15.3185,50.03692959,0
0.032823529,1,0,1.1593,0,0,6.00E-11,10000000,0.996,0,0.9457,28.7,766.89,1.1778,1.0334,0,0,15.3191,50.12694062,0
2.12E-05,1,0,1.2142,0,0,4.00E-10,10000000,0.996,0,0.9967,28.7,766.87,1.1911,1.0432,0,0,15.3264,52.59660272,0
0.008411765,1,0,1.2117,0,0,4.00E-10,10000000,0.996,0,0.9943,28.7,766.87,1.1919,1.0437,0,0,15.3261,52.48040965,0
1.272069412,1,0,1.2162,0,0,5.00E-10,10000000,0.996,0,0.9022,28.73,766.89,1.1946,1.0445,0,0,15.327,47.97746246,1
1.219839412,1,0,1.2132,0,0,4.00E-10,10000000,0.996,0,0.9034,28.73,766.9,1.1985,1.0473,0,0,15.327,48.03745299,1
1.137108824,0.5,0,1.1737,0,0,2.00E-11,10000000,0.996,0,1.0467,28.75,766.34,0.5125,0.4972,0,0,15.362,54.95673424,1
0.691967647,0.5,0,1.1753,0,0,0.00E+00,10000000,0.996,0,0.9592,28.8,766.84,0.5187,0.5017,0,0,15.363,50.78388979,0
0.759631765,0.5,0,1.1748,0,0,0.00E+00,10000000,0.996,0,0.9598,28.8,766.84,0.5333,0.5079,0,0,15.363,50.81560922,0
0.041647059,0.5,0,1.2409,0,0,4.00E-10,10000000,0.996,0,0.9549,28.79,766.72,0.4747,0.509,0,0,15.363,50.57516025,0
0.139480588,0.5,0,1.2356,0,0,4.00E-10,10000000,0.996,0,0.9551,28.79,766.73,0.4824,0.509,0,0,15.363,50.58687733,0
1.204847647,0.5,0,1.173,0,0,3.00E-12,10000000,0.996,0,1.0493,28.75,766.34,0.5336,0.5145,0,0,15.3623,55.07980202,1
0.153048824,0.5,0,1.1334,0,0,0.00E+00,10000000,0.996,0,0.9369,28.74,766.35,0.5228,0.5161,0,0,15.317,49.69716958,0
0,0.5,0,1.2557,0,0,7.00E-11,10000000,0.996,0,0.989,28.78,766.64,0.5333,0.5198,0,0,15.3533,52.22377608,0
0.104692941,0.5,0,1.13,0,0,0.00E+00,10000000,0.996,0,0.9289,28.74,766.35,0.5288,0.522,0,0,15.3138,49.3,0
0,0.5,0,1.2596,0,0,4.00E-11,10000000,0.996,0,0.9923,28.78,766.63,0.5382,0.5231,0,0,15.3534,52.38440784,0
0,0.5,0,1.2239,0,0,0.00E+00,10000000,0.9959,0,0.9585,29.03,766.49,0.4216,0.4755,0,0,15.3133,50.75263792,0
0,0.5,0,1.2236,0,0,0.00E+00,10000000,0.9959,0,0.9569,29.03,766.49,0.43,0.4808,0,0,15.3107,50.67455576,0
0.002482353,0.5,0,1.2563,0,0,0.00E+00,10000000,0.9959,0,0.9991,29.05,766.5,0.4466,0.4865,0,0,15.3616,52.7090636,0
0.015294118,0.5,0,1.2513,0,0,0.00E+00,10000000,0.9959,0,0.9932,29.05,766.5,0.4604,0.493,0,0,15.3607,52.42608869,0
0.388638235,0.5,0,1.2228,0,0,1.00E-10,10000000,0.9959,0,0.9695,29.05,766.55,0.4634,0.5041,0,0,15.3526,51.28809927,0
0.031647059,0.5,0,1.1892,0,0,0.00E+00,10000000,0.9959,0,0.9279,29.06,766.5,0.6085,0.5128,0,0,15.3456,49.25001235,0
0.084625294,0.5,0,1.1882,0,0,0.00E+00,10000000,0.9959,0,0.9301,29.06,766.51,0.614,0.5249,0,0,15.3464,49.35939029,0
0.548955824,0.5,0.003,1.877,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,1.0101,30.74,762.42,0.3873,0.4771,50000,-213.2271,15.3799,53.23352603,0
0.590407412,0.5,0.003,1.8752,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,1.011,30.74,762.41,0.3922,0.4807,50000,-213.2006,15.3791,53.2748403,0
1.176724412,0.5,0.004,1.8345,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9674,30.71,762.57,0.5375,0.484,50000,-210.3324,15.3634,51.18233861,1
0.041871812,0.5,0.004,1.9396,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,1.0249,30.71,762.39,0.4014,0.4884,50000,-214.3336,15.3708,53.93259649,0
0.02637008,0.5,0.004,1.9522,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,1.0309,30.71,762.39,0.4048,0.4908,50000,-214.3105,15.3714,54.21684424,0
