Site,Depth (m),Day,Chlorophyll-a Fluorescence (RFU),FDOM Fluorescence (RFU) ,Turbidity (NTU),Actual Conductivity  (uS/cm),Specific Conductivity(uS/cm),Salinity(PSU),Resistivity(ohm*cm),Density(g/cm^3),Total Dissolved Solids (ppt),BGA-PC Fluorescence(RFU),Temperature(C),Barometric Pressure(mm Hg),Pressure (psi),Depth(m),Nitrate(NO3-r -N),Nitrate(mV),External Voltage(V),Latitude,Longitude,BGA-PC (ug/L),Chl_a (ug/L),BGA-PC/ Chl-a,bloomstatus Chl-a,bloomstatus BGA-PC,bloomstatus BGA-PC/Chl-a
LP3,0.5,29-Apr,0.001556,0,1.1279,0,0,0.00E+00,10000000,0.9962,0,0.9029,28,768.54,0.4283,0.4993,0,0,15.3355,30.36026694,-90.15525992,48.00940956,0.915533529,52.43872348,0,0,0
LP3,0.5,29-Apr,0.001489,0,1.1309,0,0,1.00E-11,10000000,0.9962,0,0.9046,28,768.55,0.4418,0.5091,0,0,15.3349,30.36027447,-90.15526423,48.09535204,0.875760588,54.91837918,0,0,0
LP4,0.5,29-Apr,0.001252,0,1.1437,0,0,0.00E+00,10000000,0.996,0,0.9514,28.94,766.89,0.3839,0.4758,0,0,15.3359,30.34879001,-90.11624187,50.40693336,0.736428235,68.44785542,0,0,0
LP4,0.5,29-Apr,0.000016,0,1.2175,0,0,4.00E-11,10000000,0.996,0,0.9652,28.95,766.9,0.3858,0.4759,0,0,15.3366,30.34879104,-90.11621571,51.07849436,0.009470588,5393.381526,0,0,1
LP4,0.5,29-Apr,0.001167,0,1.1495,0,0,9.00E-12,10000000,0.996,0,0.951,28.94,766.89,0.3883,0.4789,0,0,15.3362,30.34879013,-90.11623807,50.38699283,0.686443529,73.40296864,0,0,0
LP4,0.5,29-Apr,0.000071,0,1.172,0,0,5.00E-10,10000000,0.996,0,0.9779,28.91,766.88,0.4072,0.4854,0,0,15.3346,30.34881982,-90.11623145,51.69101215,0.041882353,1234.195513,0,0,1
LP4,0.5,29-Apr,0.000139,0,1.1701,0,0,5.00E-10,10000000,0.996,0,0.9795,28.91,766.88,0.4093,0.487,0,0,15.3337,30.34881617,-90.11623337,51.76961742,0.081508824,635.141263,0,0,1
LP4,0.5,29-Apr,0,0,1.1912,0,0,0.00E+00,10000000,0.9959,0,0.9397,29.01,766.92,0.4103,0.4919,0,0,15.3426,30.34875918,-90.11617068,49.83474358,0,0,0,0,0
LP4,0.5,29-Apr,0.001069,0,1.2532,0,0,0.00E+00,10000000,0.996,0,0.9653,28.98,766.88,0.478,0.4972,0,0,15.3276,30.34876695,-90.11619261,51.08102347,0.628778235,81.2385363,0,0,0
LP4,0.5,29-Apr,0,0,1.1963,0,0,0.00E+00,10000000,0.9959,0,0.9394,29.01,766.92,0.4177,0.4973,0,0,15.344,30.34875969,-90.11617537,49.82037812,0,0,0,0,0
